Country,Birthrate,Deathrate
Afghanistan ,"46,6","20,34"
Albania ,"15,11","5,22"
Algeria ,"17,14","4,61"
American Samoa ,"22,46","3,27"
Andorra ,"8,71","6,25"
Angola ,"45,11","24,2"
Anguilla ,"14,17","5,34"
Antigua & Barbuda ,"16,93","5,37"
Argentina ,"16,73","7,55"
Armenia ,"12,07","8,23"
Aruba ,"11,03","6,68"
Australia ,"12,14","7,51"
Austria ,"8,74","9,76"
Azerbaijan ,"20,74","9,75"
"Bahamas, The ","17,57","9,05"
Bahrain ,"17,8","4,14"
Bangladesh ,"29,8","8,27"
Barbados ,"12,71","8,67"
Belarus ,"11,16","14,02"
Belgium ,"10,38","10,27"
Belize ,"28,84","5,72"
Benin ,"38,85","12,22"
Bermuda ,"11,4","7,74"
Bhutan ,"33,65","12,7"
Bolivia ,"23,3","7,53"
Bosnia & Herzegovina ,"8,77","8,27"
Botswana ,"23,08","29,5"
Brazil ,"16,56","6,17"
British Virgin Is. ,"14,89","4,42"
Brunei ,"18,79","3,45"
Bulgaria ,"9,65","14,27"
Burkina Faso ,"45,62","15,6"
Burma ,"17,91","9,83"
Burundi ,"42,22","13,46"
Cambodia ,"26,9","9,06"
Cameroon ,"33,89","13,47"
Canada ,"10,78","7,8"
Cape Verde ,"24,87","6,55"
Cayman Islands ,"12,74","4,89"
Central African Rep. ,"33,91","18,65"
Chad ,"45,73","16,38"
Chile ,"15,23","5,81"
China ,"13,25","6,97"
Colombia ,"20,48","5,58"
Comoros ,"36,93","8,2"
"Congo, Dem. Rep. ","43,69","13,27"
"Congo, Repub. of the ","42,57","12,93"
Cook Islands ,21,
Costa Rica ,"18,32","4,36"
Cote d'Ivoire ,"35,11","14,84"
Croatia ,"9,61","11,48"
Cuba ,"11,89","7,22"
Cyprus ,"12,56","7,68"
Czech Republic ,"9,02","10,59"
Denmark ,"11,13","10,36"
Djibouti ,"39,53","19,31"
Dominica ,"15,27","6,73"
Dominican Republic ,"23,22","5,73"
East Timor ,"26,99","6,24"
Ecuador ,"22,29","4,23"
Egypt ,"22,94","5,23"
El Salvador ,"26,61","5,78"
Equatorial Guinea ,"35,59","15,06"
Eritrea ,"34,33","9,6"
Estonia ,"10,04","13,25"
Ethiopia ,"37,98","14,86"
Faroe Islands ,"14,05","8,7"
Fiji ,"22,55","5,65"
Finland ,"10,45","9,86"
France ,"11,99","9,14"
French Guiana ,"20,46","4,88"
French Polynesia ,"16,68","4,69"
Gabon ,"36,16","12,25"
"Gambia, The ","39,37","12,25"
Gaza Strip ,"39,45","3,8"
Georgia ,"10,41","9,23"
Germany ,"8,25","10,62"
Ghana ,"30,52","9,72"
Gibraltar ,"10,74","9,31"
Greece ,"9,68","10,24"
Greenland ,"15,93","7,84"
Grenada ,"22,08","6,88"
Guadeloupe ,"15,05","6,09"
Guam ,"18,79","4,48"
Guatemala ,"29,88","5,2"
Guernsey ,"8,81","10,01"
Guinea ,"41,76","15,48"
Guinea-Bissau ,"37,22","16,53"
Guyana ,"18,28","8,28"
Haiti ,"36,44","12,17"
Honduras ,"28,24","5,28"
Hong Kong ,"7,29","6,29"
Hungary ,"9,72","13,11"
Iceland ,"13,64","6,72"
India ,"22,01","8,18"
Indonesia ,"20,34","6,25"
Iran ,17,"5,55"
Iraq ,"31,98","5,37"
Ireland ,"14,45","7,82"
Isle of Man ,"11,05","11,19"
Israel ,"17,97","6,18"
Italy ,"8,72","10,4"
Jamaica ,"20,82","6,52"
Japan ,"9,37","9,16"
Jersey ,"9,3","9,28"
Jordan ,"21,25","2,65"
Kazakhstan ,16,"9,42"
Kenya ,"39,72","14,02"
Kiribati ,"30,65","8,26"
"Korea, North ","15,54","7,13"
"Korea, South ",10,"5,85"
Kuwait ,"21,94","2,41"
Kyrgyzstan ,"22,8","7,08"
Laos ,"35,49","11,55"
Latvia ,"9,24","13,66"
Lebanon ,"18,52","6,21"
Lesotho ,"24,75","28,71"
Liberia ,"44,77","23,1"
Libya ,"26,49","3,48"
Liechtenstein ,"10,21","7,18"
Lithuania ,"8,75","10,98"
Luxembourg ,"11,94","8,41"
Macau ,"8,48","4,47"
Macedonia ,"12,02","8,77"
Madagascar ,"41,41","11,11"
Malawi ,"43,13","19,33"
Malaysia ,"22,86","5,05"
Maldives ,"34,81","7,06"
Mali ,"49,82","16,89"
Malta ,"10,22","8,1"
Marshall Islands ,"33,05","4,78"
Martinique ,"13,74","6,48"
Mauritania ,"40,99","12,16"
Mauritius ,"15,43","6,86"
Mayotte ,"40,95","7,7"
Mexico ,"20,69","4,74"
"Micronesia, Fed. St. ","24,68","4,75"
Moldova ,"15,7","12,64"
Monaco ,"9,19","12,91"
Mongolia ,"21,59","6,95"
Montserrat ,"17,59","7,1"
Morocco ,"21,98","5,58"
Mozambique ,"35,18","21,35"
Namibia ,"24,32","18,86"
Nauru ,"24,76","6,7"
Nepal ,"30,98","9,31"
Netherlands ,"10,9","8,68"
Netherlands Antilles ,"14,78","6,45"
New Caledonia ,"18,11","5,69"
New Zealand ,"13,76","7,53"
Nicaragua ,"24,51","4,45"
Niger ,"50,73","20,91"
Nigeria ,"40,43","16,94"
N. Mariana Islands ,"19,43","2,29"
Norway ,"11,46","9,4"
Oman ,"36,24","3,81"
Pakistan ,"29,74","8,23"
Palau ,"18,03","6,8"
Panama ,"21,74","5,36"
Papua New Guinea ,"29,36","7,25"
Paraguay ,"29,1","4,49"
Peru ,"20,48","6,23"
Philippines ,"24,89","5,41"
Poland ,"9,85","9,89"
Portugal ,"10,72","10,5"
