Country Name,Indicator Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,"Life expectancy at birth, total (years)",74.429,74.576,74.725,74.872,75.016,75.158,75.299,75.44,75.582,75.725,75.867
Afghanistan,"Life expectancy at birth, total (years)",59.11,59.694,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673
Angola,"Life expectancy at birth, total (years)",53.974,55.096,56.189,57.231,58.192,59.042,59.77,60.373,60.858,61.241,61.547
Albania,"Life expectancy at birth, total (years)",75.418,75.656,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345
Andorra,"Life expectancy at birth, total (years)",,,,,,,,,,,
Arab World,"Life expectancy at birth, total (years)",69.18636508,69.4245522,69.64697028,69.8514339,70.04105435,70.22389424,70.40801569,70.59829816,70.79395747,70.99454147,71.19845637
United Arab Emirates,"Life expectancy at birth, total (years)",75.632,75.828,76.012,76.183,76.344,76.498,76.648,76.798,76.948,77.101,77.256
Argentina,"Life expectancy at birth, total (years)",74.941,75.105,75.268,75.431,75.595,75.761,75.926,76.089,76.252,76.415,76.577
Armenia,"Life expectancy at birth, total (years)",72.715,72.815,72.946,73.119,73.331,73.571,73.814,74.044,74.255,74.445,74.618
American Samoa,"Life expectancy at birth, total (years)",,,,,,,,,,,
Antigua and Barbuda,"Life expectancy at birth, total (years)",74.727,74.905,75.078,75.247,75.412,75.574,75.733,75.892,76.05,76.207,76.364
Australia,"Life expectancy at birth, total (years)",81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.5
Austria,"Life expectancy at birth, total (years)",79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,80.8902439
Azerbaijan,"Life expectancy at birth, total (years)",69.269,69.774,70.238,70.646,70.987,71.26,71.478,71.656,71.8,71.921,72.026
Burundi,"Life expectancy at birth, total (years)",53.09,53.492,53.926,54.386,54.861,55.338,55.807,56.259,56.688,57.094,57.481
Belgium,"Life expectancy at birth, total (years)",79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,80.99268293
Benin,"Life expectancy at birth, total (years)",57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907
Burkina Faso,"Life expectancy at birth, total (years)",54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361
Bangladesh,"Life expectancy at birth, total (years)",68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489
Bulgaria,"Life expectancy at birth, total (years)",72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.61463415
Bahrain,"Life expectancy at birth, total (years)",75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9
"Bahamas, The","Life expectancy at birth, total (years)",74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675
Bosnia and Herzegovina,"Life expectancy at birth, total (years)",75.353,75.486,75.619,75.758,75.905,76.06,76.223,76.39,76.561,76.735,76.911
Belarus,"Life expectancy at birth, total (years)",69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927
Belize,"Life expectancy at birth, total (years)",69.218,69.385,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384
Bermuda,"Life expectancy at birth, total (years)",78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317
Bolivia,"Life expectancy at birth, total (years)",64.113,64.692,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125
Brazil,"Life expectancy at birth, total (years)",72.405,72.768,73.129,73.488,73.838,74.174,74.488,74.777,75.042,75.284,75.509
Barbados,"Life expectancy at birth, total (years)",74.324,74.486,74.648,74.811,74.973,75.133,75.292,75.448,75.603,75.755,75.906
Brunei Darussalam,"Life expectancy at birth, total (years)",76.455,76.577,76.656,76.699,76.719,76.734,76.764,76.823,76.917,77.046,77.203
Bhutan,"Life expectancy at birth, total (years)",65.578,66.214,66.792,67.315,67.79,68.227,68.639,69.038,69.43,69.817,70.197
Botswana,"Life expectancy at birth, total (years)",53.695,55.312,56.919,58.45,59.868,61.179,62.425,63.63,64.78,65.846,66.797
Central African Republic,"Life expectancy at birth, total (years)",44.967,45.552,46.19,46.862,47.56,48.284,49.041,49.825,50.621,51.41,52.171
Canada,"Life expectancy at birth, total (years)",80.29268293,80.54390244,80.69512195,80.94634146,81.19756098,81.44878049,81.5835122,81.77204878,81.95304878,82.12902439,82.3005122
Central Europe and the Baltics,"Life expectancy at birth, total (years)",74.09472478,74.25238333,74.57753902,74.9318257,75.29534873,75.88847488,75.9934886,76.35516299,76.68547642,76.59107024,76.60317678
Switzerland,"Life expectancy at birth, total (years)",81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,82.89756098
Channel Islands,"Life expectancy at birth, total (years)",79.241,79.493,79.729,79.947,80.145,80.326,80.494,80.654,80.807,80.958,81.107
Chile,"Life expectancy at birth, total (years)",77.934,78.066,78.193,78.32,78.454,78.599,78.758,78.931,79.117,79.315,79.522
China,"Life expectancy at birth, total (years)",74.291,74.562,74.808,75.032,75.236,75.425,75.602,75.769,75.932,76.092,76.252
Cote d'Ivoire,"Life expectancy at birth, total (years)",48.183,48.747,49.321,49.883,50.423,50.945,51.463,51.989,52.52,53.053,53.582
Cameroon,"Life expectancy at birth, total (years)",53.494,54.033,54.535,54.996,55.424,55.832,56.241,56.665,57.111,57.582,58.073
"Congo, Dem. Rep.","Life expectancy at birth, total (years)",54.401,55.091,55.743,56.35,56.907,57.418,57.894,58.347,58.782,59.205,59.621
"Congo, Rep.","Life expectancy at birth, total (years)",55.881,57.115,58.321,59.452,60.473,61.37,62.169,62.89,63.536,64.112,64.625
Colombia,"Life expectancy at birth, total (years)",72.532,72.749,72.952,73.143,73.325,73.5,73.673,73.847,74.022,74.2,74.381
Comoros,"Life expectancy at birth, total (years)",60.407,60.734,61.094,61.475,61.862,62.24,62.596,62.923,63.216,63.473,63.701
Cabo Verde,"Life expectancy at birth, total (years)",71.842,71.869,71.881,71.899,71.941,72.019,72.127,72.259,72.418,72.599,72.798
Costa Rica,"Life expectancy at birth, total (years)",78.234,78.355,78.481,78.613,78.756,78.911,79.077,79.254,79.44,79.634,79.831
Caribbean small states,"Life expectancy at birth, total (years)",71.34540591,71.58238536,71.81658119,72.04214711,72.25239203,72.44463184,72.61917985,72.77917989,72.92618028,73.0627324,73.1924085
Cuba,"Life expectancy at birth, total (years)",78.225,78.469,78.672,78.833,78.959,79.064,79.167,79.282,79.415,79.57,79.742
Curacao,"Life expectancy at birth, total (years)",74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,,,77.82439024,,77.87317073
Cayman Islands,"Life expectancy at birth, total (years)",,,,,82.1902439,,,,,,
Cyprus,"Life expectancy at birth, total (years)",78.764,78.911,79.071,79.245,79.43,79.62,79.81,79.995,80.173,80.344,80.508
Czech Republic,"Life expectancy at birth, total (years)",76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,78.33170732
Germany,"Life expectancy at birth, total (years)",79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.64146341
Djibouti,"Life expectancy at birth, total (years)",58.393,58.848,59.345,59.865,60.383,60.87,61.31,61.691,62.006,62.26,62.465
Dominica,"Life expectancy at birth, total (years)",,,,,,,,,,,
Denmark,"Life expectancy at birth, total (years)",78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.70487805
Dominican Republic,"Life expectancy at birth, total (years)",71.862,72.078,72.29,72.498,72.702,72.901,73.098,73.292,73.483,73.673,73.861
Algeria,"Life expectancy at birth, total (years)",73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078
