Country,Coastline ,Infant mortality (per 1000 births),GDP ($ per capita),Arable ,Crops ,Climate,Birthrate,Deathrate,Agriculture
Afghanistan ,"0,00","163,07",700,"12,13","0,22",1,"46,6","20,34","0,38"
Albania ,"1,26","21,52",4500,"21,09","4,42",3,"15,11","5,22","0,232"
Algeria ,"0,04",31,6000,"3,22","0,25",1,"17,14","4,61","0,101"
American Samoa ,"58,29","9,27",8000,10,15,2,"22,46","3,27",
Andorra ,"0,00","4,05",19000,"2,22",0,3,"8,71","6,25",
Angola ,"0,13","191,19",1900,"2,41","0,24",,"45,11","24,2","0,096"
Anguilla ,"59,80","21,03",8600,0,0,2,"14,17","5,34","0,04"
Antigua & Barbuda ,"34,54","19,46",11000,"18,18","4,55",2,"16,93","5,37","0,038"
Argentina ,"0,18","15,18",11200,"12,31","0,48",3,"16,73","7,55","0,095"
Armenia ,"0,00","23,28",3500,"17,55","2,3",4,"12,07","8,23","0,239"
Aruba ,"35,49","5,89",28000,"10,53",0,2,"11,03","6,68","0,004"
Australia ,"0,34","4,69",29000,"6,55","0,04",1,"12,14","7,51","0,038"
Austria ,"0,00","4,66",30000,"16,91","0,86",3,"8,74","9,76","0,018"
Azerbaijan ,"0,00","81,74",3400,"19,63","2,71",1,"20,74","9,75","0,141"
"Bahamas, The ","25,41","25,21",16700,"0,8","0,4",2,"17,57","9,05","0,03"
Bahrain ,"24,21","17,27",16900,"2,82","5,63",1,"17,8","4,14","0,005"
Bangladesh ,"0,40","62,6",1900,"62,11","3,07",2,"29,8","8,27","0,199"
Barbados ,"22,51","12,5",15700,"37,21","2,33",2,"12,71","8,67","0,06"
Belarus ,"0,00","13,37",6100,"29,55","0,6",4,"11,16","14,02","0,093"
Belgium ,"0,22","4,68",29100,"23,28","0,4",3,"10,38","10,27","0,01"
Belize ,"1,68","25,69",4900,"2,85","1,71",2,"28,84","5,72","0,142"
Benin ,"0,11",85,1100,"18,08","2,4",2,"38,85","12,22","0,316"
Bermuda ,"194,34","8,53",36000,20,0,2,"11,4","7,74","0,01"
Bhutan ,"0,00","100,44",1300,"3,09","0,43",2,"33,65","12,7","0,258"
Bolivia ,"0,00","53,11",2400,"2,67","0,19","1,5","23,3","7,53","0,128"
Bosnia & Herzegovina ,"0,04","21,05",6100,"13,6","2,96",4,"8,77","8,27","0,142"
Botswana ,"0,00","54,58",9000,"0,65","0,01",1,"23,08","29,5","0,024"
Brazil ,"0,09","29,61",7600,"6,96","0,9",2,"16,56","6,17","0,084"
British Virgin Is. ,"52,29","18,05",16000,20,"6,67",2,"14,89","4,42","0,018"
Brunei ,"2,79","12,61",18600,"0,57","0,76",2,"18,79","3,45","0,036"
Bulgaria ,"0,32","20,55",7600,"40,02","1,92",3,"9,65","14,27","0,093"
Burkina Faso ,"0,00","97,57",1100,"14,43","0,19",2,"45,62","15,6","0,322"
Burma ,"0,28","67,24",1800,"15,19","0,97",2,"17,91","9,83","0,564"
Burundi ,"0,00","69,29",600,"35,05","14,02",2,"42,22","13,46","0,463"
Cambodia ,"0,24","71,48",1900,"20,96","0,61",2,"26,9","9,06","0,35"
Cameroon ,"0,08","68,26",1800,"12,81","2,58","1,5","33,89","13,47","0,448"
Canada ,"2,02","4,75",29800,"4,96","0,02",,"10,78","7,8","0,022"
Cape Verde ,"23,93","47,77",1400,"9,68","0,5",3,"24,87","6,55","0,121"
Cayman Islands ,"61,07","8,19",35000,"3,85",0,2,"12,74","4,89","0,014"
Central African Rep. ,"0,00",91,1100,"3,1","0,14",2,"33,91","18,65","0,55"
Chad ,"0,00","93,82",1200,"2,86","0,02",2,"45,73","16,38","0,335"
Chile ,"0,85","8,8",9900,"2,65","0,42",3,"15,23","5,81","0,06"
China ,"0,15","24,18",5000,"15,4","1,25","1,5","13,25","6,97","0,125"
Colombia ,"0,28","20,97",6300,"2,42","1,67",2,"20,48","5,58","0,125"
Comoros ,"15,67","74,93",700,"35,87","23,32",2,"36,93","8,2","0,4"
"Congo, Dem. Rep. ","0,00","94,69",700,"2,96","0,52",2,"43,69","13,27","0,55"
"Congo, Repub. of the ","0,05","93,86",700,"0,51","0,13",2,"42,57","12,93","0,062"
Cook Islands ,"50,00",,5000,"17,39","13,04",2,21,,"0,151"
Costa Rica ,"2,52","9,95",9100,"4,41","5,88",2,"18,32","4,36","0,088"
Cote d'Ivoire ,"0,16","90,83",1400,"9,75","13,84",2,"35,11","14,84","0,279"
Croatia ,"10,32","6,84",10600,"26,09","2,27",,"9,61","11,48","0,07"
Cuba ,"3,37","6,33",2900,"33,05","7,6",2,"11,89","7,22","0,055"
Cyprus ,"7,01","7,18",19200,"7,79","4,44",3,"12,56","7,68","0,037"
Czech Republic ,"0,00","3,93",15700,"39,8","3,05",3,"9,02","10,59","0,034"
Denmark ,"16,97","4,56",31100,"54,02","0,19",3,"11,13","10,36","0,018"
Djibouti ,"1,37","104,13",1300,"0,04",0,1,"39,53","19,31","0,179"
Dominica ,"19,63","14,15",5400,"6,67",20,2,"15,27","6,73","0,177"
Dominican Republic ,"2,64","32,38",6000,"22,65","10,33",2,"23,22","5,73","0,112"
East Timor ,"4,70","47,41",500,"4,71","0,67",2,"26,99","6,24","0,085"
Ecuador ,"0,79","23,66",3300,"5,85","4,93",2,"22,29","4,23","0,07"
Egypt ,"0,24","32,59",4000,"2,87","0,48",1,"22,94","5,23","0,149"
El Salvador ,"1,46","25,1",4800,"31,85","12,07",2,"26,61","5,78","0,099"
Equatorial Guinea ,"1,06","85,13",2700,"4,63","3,57",2,"35,59","15,06","0,03"
Eritrea ,"1,84","74,87",700,"4,95","0,03","1,5","34,33","9,6","0,102"
Estonia ,"8,39","7,87",12300,"16,04","0,45",3,"10,04","13,25","0,04"
Ethiopia ,"0,00","95,32",700,"10,71","0,75",2,"37,98","14,86","0,475"
Faroe Islands ,"79,84","6,24",22000,"2,14",0,,"14,05","8,7","0,27"
Fiji ,"6,18","12,62",5800,"10,95","4,65",2,"22,55","5,65","0,089"
Finland ,"0,37","3,57",27400,"7,19","0,03",3,"10,45","9,86","0,028"
France ,"0,63","4,26",27600,"33,53","2,07",4,"11,99","9,14","0,022"
