Country,Free health care,Universal health care
Afghanistan,No,No
Albania,Yes,Yes
Algeria,Yes,Yes
Andorra,Yes,Yes
Angola,No,No
Antigua and Barbuda,Yes,Yes
Argentina,Yes,Yes
Armenia,Yes,No
Australia,Yes,Yes
Austria,Yes,Yes
Azerbaijan,Yes,No
Bahamas,Yes,Yes
Bahrain,Yes,Yes
Bangladesh,Yes,No
Barbados,Yes,Yes
Belarus,Yes,Yes
Belgium,Yes,Yes
Belize,No,Yes
Benin,Yes,No
Bhutan,Yes,Yes
Bolivia,Yes,Yes
Bosnia and Herzegovina,Yes,Yes
Botswana,Yes,Yes
Brazil,Yes,Yes
Brunei Darussalam,Yes,Yes
Bulgaria,Yes,Yes
Burkina Faso,Yes,Yes
Burundi,No,No
Cabo Verde,Yes,No
Cambodia,No,No
Cameroon,No,No
Canada,Yes,Yes
Central African Republic,Yes,No
Chad,No,No
Chile,Yes,Yes
China,Yes,Yes
Colombia,Yes,Yes
Comoros,No,No
Congo,Yes,No
Cook Islands,Yes,Yes
Costa Rica,Yes,Yes
Croatia,Yes,Yes
Cuba,Yes,Yes
Cyprus,Yes,Yes
Czech Republic,Yes,Yes
Côte d'Ivoire,Yes,No
Democratic Republic of the Congo,Yes,No
Denmark,Yes,Yes
Djibouti,Yes,No
Dominican Republic,No,No
Dominica,No,No
Ecuador,Yes,Yes
Egypt,Yes,No
El Salvador,Yes,No
Equatorial Guinea,Yes,No
Eritrea,Yes,Yes
Estonia,Yes,Yes
Ethiopia,Yes,No
Fiji,Yes,Yes
Finland,Yes,Yes
France,Yes,Yes
Gabon,Yes,Yes
Gambia,No,No
Georgia,Yes,Yes
Germany,Yes,Yes
Ghana,No,Yes
Greece,Yes,Yes
Grenada,No,No
Guatemala,Yes,No
Guernsey,Yes,Yes
Guinea-Bissau,No,No
Guinea,No,No
Guyana,Yes,Yes
Haiti,No,No
Honduras,Yes,No
Hong Kong,Yes,Yes
Hungary,Yes,Yes
Iceland,Yes,Yes
India,Yes,No
Indonesia,No,No
Iran,Yes,Yes
Iraq,No,No
Ireland,Yes,No
Isle of Man,Yes,Yes
Israel,Yes,Yes
Italy,Yes,Yes
Jamaica,Yes,Yes
Japan,Yes,Yes
Jersey,Yes,Yes
Jordan,No,No
Kazakhstan,Yes,Yes
Kenya,No,No
Kiribati,Yes,Yes
Kuwait,Yes,Yes
Kyrgyzstan,Yes,No
Laos,Yes,No
Latvia,Yes,Yes
Lebanon,No,No
Lesotho,Yes,No
Liberia,No,No
Libya,Yes,No
Liechtenstein,Yes,Yes
Lithuania,Yes,Yes
Luxembourg,Yes,Yes
Macau,Yes,Yes
Macedonia,Yes,Yes
Madagascar,Yes,No
Malawi,Yes,No
Malaysia,Yes,Yes
Maldives,Yes,Yes
Mali,No,No
Malta,Yes,Yes
Marshall Islands,No,No
Mauritania,No,No
Mauritius,Yes,Yes
Mexico,Yes,Yes
Micronesia,No,No
Moldova,Yes,Yes
Monaco,Yes,Yes
Mongolia,Yes,No
Montenegro,Yes,Yes
Morocco,Yes,No
Mozambique,No,No
Myanmar,Yes,No
Namibia,Yes,Yes
Nauru,Yes,Yes
Nepal,Yes,No
Netherlands,Yes,Yes
New Zealand,Yes,Yes
Nicaragua,Yes,No
Nigeria,No,No
Niger,No,No
Niue,Yes,Yes
North Korea,Yes,Yes
Norway,Yes,Yes
Oman,Yes,Yes
Pakistan,Yes,Yes
Palau,Yes,Yes
Panama,Yes,Yes
Papua New Guinea,Yes,No
Paraguay,Yes,Yes
Peru,Yes,Yes
Philippines,Yes,No
Poland,Yes,Yes
Portugal,Yes,Yes
Qatar,Yes,Yes
Romania,Yes,Yes
Russia,Yes,Yes
Rwanda,Yes,Yes
Saint Kitts and Nevis,No,No
Saint Lucia,Yes,Yes
Saint Vincent and the Grenadines,Yes,Yes
Samoa,Yes,Yes
San Marino,Yes,Yes
Saudi Arabia,Yes,Yes
Senegal,No,No
Serbia,Yes,Yes
Seychelles,Yes,Yes
Sierra Leone,No,No
Singapore,Yes,Yes
Slovakia,Yes,Yes
Slovenia,Yes,Yes
Solomon Islands,Yes,No
Somalia,No,No
South Africa,Yes,No
South Korea,Yes,Yes
South Sudan,No,No
Spain,Yes,Yes
Sri Lanka,Yes,Yes
Sudan,No,No
Suriname,No,No
Swaziland,Yes,No
Sweden,Yes,Yes
Switzerland,Yes,Yes
Syrian Arab Republic,No,No
São Tomé and Príncipe,Yes,No
Taiwan,Yes,Yes
Tajikistan,No,No
Tanzania,Yes,No
Thailand,Yes,Yes
Timor-Leste,Yes,Yes
Togo,Yes,No
Tonga,Yes,Yes
Trinidad and Tobago,Yes,Yes
Tunisia,Yes,Yes
Turkey,Yes,Yes
Turkmenistan,No,No
Tuvalu,Yes,Yes
Uganda,Yes,No
Ukraine,Yes,Yes
United Arab Emirates,Yes,Yes
United Kingdom,Yes,Yes
United States,No,No
Uruguay,Yes,Yes
Uzbekistan,Yes,Yes
Vanuatu,Yes,Yes
Venezuela,Yes,Yes
Viet Nam,Yes,No
Yemen,Yes,No
Zambia,Yes,Yes
Zimbabwe,No,No
